origin,destination,days_to_departure,time_of_day,user_type,weather_score,is_holiday,competitor_price,time_of_day_encoded,user_type_encoded,price
MAA,BLR,78,Afternoon,Leisure,0.7001111171772656,0,8473,1,0,6673
BLR,BLR,16,Afternoon,Leisure,0.9174588467126624,0,3744,1,0,8489
MAA,BLR,71,Morning,Leisure,1.1425618576206533,0,5394,0,0,9116
DEL,DEL,19,Afternoon,Leisure,1.0598314066661665,0,4856,1,0,12435
BOM,DEL,2,Evening,Leisure,0.8065432015789705,1,4442,2,0,11989
HYD,MAA,10,Evening,Business,0.8822398534531272,1,6967,2,1,18033
DEL,BOM,50,Night,Leisure,0.902075566649264,1,6692,3,0,13806
HYD,HYD,81,Night,Leisure,1.0406968667033896,0,8878,3,0,10594
BOM,HYD,12,Afternoon,Business,1.198958977864646,1,5245,1,1,21082
BOM,DEL,70,Morning,Business,1.259495067866608,0,8005,0,1,15508
DEL,HYD,22,Night,Leisure,1.1500554477121834,0,5857,3,0,17219
BOM,DEL,32,Evening,Business,1.2057702341060859,0,7379,2,1,17622
MAA,MAA,84,Night,Business,0.9820575750709096,0,7277,3,1,7736
BOM,BOM,1,Night,Business,0.9338651917733725,0,5615,3,1,15875
HYD,MAA,54,Evening,Business,0.9356251192865301,0,5767,2,1,9845
HYD,BLR,58,Morning,Business,1.0696231170039743,0,5767,0,1,10948
HYD,BLR,70,Night,Business,0.7745420233334854,1,4996,3,1,6595
HYD,BLR,83,Night,Leisure,1.0476965096741568,0,6296,3,0,7490
MAA,MAA,18,Night,Leisure,1.0990797161102352,0,7981,3,0,19718
BLR,HYD,6,Afternoon,Business,0.9633452441237433,0,4429,1,1,12210
DEL,BOM,45,Night,Business,1.2719003060627005,1,6824,3,1,20759
HYD,BLR,23,Evening,Leisure,1.064927963427745,0,8000,2,0,18176
BOM,BLR,23,Morning,Business,0.8319996833419752,0,8087,0,1,14829
HYD,BLR,26,Morning,Leisure,0.9875297544601098,1,3856,0,0,10537
BOM,BOM,77,Evening,Business,1.1052426622811764,0,7810,2,1,11277
BOM,BLR,7,Afternoon,Leisure,0.8941774747482873,0,7564,1,0,16687
HYD,BOM,79,Evening,Leisure,0.7477849637734139,0,8999,2,0,7790
MAA,BLR,44,Morning,Business,1.050061380826531,0,7341,0,1,13891
BOM,MAA,27,Evening,Business,1.2687221011718082,1,7430,2,1,24133
BOM,MAA,26,Afternoon,Business,0.9910431913379043,0,8347,1,1,20447
HYD,BOM,79,Morning,Business,1.2436654483882228,1,4326,0,1,8216
BOM,MAA,36,Afternoon,Leisure,1.2010141530230163,1,8833,1,0,27734
BOM,BOM,55,Evening,Business,0.78844767018039,0,8717,2,1,12370
HYD,MAA,64,Night,Leisure,1.1249019531013424,0,4165,3,0,6917
HYD,MAA,57,Evening,Business,0.9612793150431871,1,5528,2,1,11151
DEL,BOM,69,Afternoon,Leisure,0.8501477951577621,0,7191,1,0,9511
MAA,HYD,61,Evening,Business,1.1121630134000218,0,6082,2,1,11111
MAA,MAA,2,Night,Business,1.145596431193853,0,4053,3,1,12601
BOM,BLR,55,Afternoon,Leisure,0.8079377912409033,0,9168,1,0,13137
MAA,HYD,80,Evening,Business,1.248666809233725,1,3827,2,1,7432
BOM,BOM,87,Afternoon,Business,1.1506883463708646,0,4688,1,1,5293
DEL,HYD,38,Afternoon,Business,1.2600252994851813,0,3649,1,1,8939
HYD,DEL,80,Morning,Business,0.8902439312582145,1,8651,0,1,12020
HYD,DEL,78,Morning,Business,1.2636010094457921,1,8252,0,1,16900
HYD,MAA,29,Afternoon,Leisure,0.9211105947030285,0,6353,1,0,12949
MAA,MAA,26,Evening,Business,0.732381856856435,1,5436,2,1,10619
DEL,BLR,35,Evening,Leisure,1.157781633225414,0,7888,2,0,18345
MAA,HYD,79,Evening,Business,1.1221048864530045,0,6236,2,1,8534
MAA,DEL,67,Night,Business,1.0587465953579995,1,4456,3,1,8983
DEL,MAA,87,Afternoon,Leisure,0.9939362466305044,0,6748,1,0,6611
DEL,HYD,29,Afternoon,Leisure,0.7192991621935788,0,8680,1,0,13638
DEL,MAA,34,Night,Leisure,1.0747583509120926,0,9208,3,0,22707
DEL,MAA,41,Afternoon,Leisure,0.9501007691336762,0,3915,1,0,7142
HYD,DEL,41,Afternoon,Leisure,1.036125641644567,1,6954,1,0,18037
BLR,DEL,23,Night,Business,0.9575928051805818,0,6145,3,1,13464
BLR,MAA,71,Morning,Leisure,1.2796336796591194,0,7274,0,0,13628
DEL,BOM,3,Afternoon,Leisure,1.0624653406905082,0,8513,1,0,27166
BLR,MAA,58,Night,Business,1.1495417983614804,1,3584,3,1,7926
BLR,MAA,32,Evening,Business,1.2618081684826499,0,8552,2,1,24917
DEL,BLR,31,Morning,Leisure,1.0549595937500438,0,9017,0,0,22763
BLR,BLR,82,Evening,Leisure,0.7072375106934404,0,5435,2,0,4890
MAA,BLR,43,Afternoon,Leisure,0.7205750069863254,0,9390,1,0,12952
BOM,BOM,7,Morning,Business,1.1214030604611172,0,4916,0,1,14622
BOM,BOM,1,Night,Leisure,0.8674510816907701,0,4570,3,0,10587
DEL,MAA,61,Afternoon,Business,1.0476278364087692,1,6912,1,1,13218
HYD,BLR,14,Night,Business,0.8213663086544013,0,5021,3,1,10377
DEL,BOM,52,Morning,Business,0.8621493250370285,0,5001,0,1,7133
HYD,DEL,6,Evening,Business,1.002784633568845,0,7591,2,1,21261
BOM,MAA,10,Afternoon,Leisure,1.2853416780136493,0,5973,1,0,20106
DEL,HYD,71,Afternoon,Business,1.0697622935255149,0,4235,1,1,6749
MAA,MAA,30,Night,Business,1.261688862707814,0,6338,3,1,18685
BLR,HYD,21,Morning,Leisure,1.2756279126321686,0,6062,0,0,17750
HYD,BLR,60,Night,Business,0.8248659978523044,0,8748,3,1,11558
BLR,HYD,81,Morning,Leisure,0.8867161614813667,0,7406,0,0,8137
BLR,BLR,74,Afternoon,Business,1.1619953687312226,0,4772,1,1,6870
DEL,DEL,63,Morning,Leisure,1.2200584013748064,0,8336,0,0,14195
BLR,HYD,42,Afternoon,Business,1.0115360465137166,0,5362,1,1,11379
MAA,MAA,51,Morning,Business,1.2959356403683295,0,7726,0,1,16530
BLR,BLR,64,Evening,Leisure,0.7069433192531621,1,5263,2,0,7314
DEL,MAA,76,Morning,Business,0.8797555933511294,0,9308,0,1,11348
MAA,BOM,56,Evening,Business,1.073897052246748,0,7918,2,1,14172
BOM,BLR,80,Morning,Leisure,0.9815739465624898,1,4322,0,0,6483
BLR,HYD,41,Morning,Business,0.7699617798572804,0,4042,0,1,5993
DEL,BLR,32,Night,Business,0.9206722512883382,1,6265,3,1,16021
BOM,MAA,15,Night,Leisure,0.7152682859770234,0,9451,3,0,17997
BOM,DEL,62,Afternoon,Leisure,1.0856476276451676,0,5578,1,0,8650
HYD,BLR,27,Night,Leisure,1.2356455257978132,0,4384,3,0,12444
MAA,HYD,28,Morning,Leisure,1.2309244742700753,1,7786,0,0,26483
BLR,BOM,81,Night,Leisure,1.1197266842593279,0,7149,3,0,8502
DEL,DEL,64,Morning,Business,0.9794621172987565,0,8010,0,1,13069
HYD,BOM,59,Evening,Leisure,1.0072189712148938,0,9434,2,0,15105
MAA,BLR,58,Morning,Business,0.7821512943973977,0,9409,0,1,12111
HYD,MAA,2,Afternoon,Leisure,0.9046102558715218,0,7071,1,0,16576
MAA,MAA,36,Evening,Business,0.8126368452989642,0,7433,2,1,12842
MAA,HYD,71,Afternoon,Business,1.1927201220099728,0,9356,1,1,16356
BLR,MAA,13,Afternoon,Leisure,1.2488523408027759,0,7166,1,0,23121
MAA,DEL,15,Afternoon,Business,1.0221539568520703,0,8665,1,1,23417
HYD,MAA,89,Night,Business,1.1366584243077664,0,5221,3,1,6332
MAA,HYD,87,Afternoon,Leisure,0.7728788625442764,0,3874,1,0,3007
BLR,BLR,60,Evening,Leisure,1.065120785966343,0,4057,2,0,6825
BLR,BLR,22,Morning,Leisure,1.1216746128267077,1,4780,0,0,14117
HYD,MAA,63,Afternoon,Leisure,0.9716608777068405,0,6923,1,0,9410
BOM,BOM,75,Evening,Business,0.8459638506824192,0,9192,2,1,9225
BOM,BLR,74,Afternoon,Business,1.2264247123248349,0,4628,1,1,8155
MAA,MAA,25,Morning,Business,1.1457452319722334,0,4860,0,1,14048
DEL,HYD,48,Evening,Business,1.239914369109517,0,7097,2,1,14879
MAA,MAA,43,Evening,Business,1.191041588498694,0,8920,2,1,19931
HYD,BLR,38,Morning,Business,1.2942246577473175,0,4600,0,1,11208
HYD,HYD,41,Evening,Leisure,0.8153036399286693,1,5034,2,0,10403
HYD,MAA,45,Morning,Business,0.7520486606823844,1,8849,0,1,15161
HYD,DEL,88,Evening,Business,0.9022016748023551,0,9298,2,1,8935
HYD,HYD,40,Evening,Business,0.7774025050139552,0,6125,2,1,9599
BLR,DEL,17,Morning,Leisure,1.0138780677437347,1,7627,0,0,23787
BOM,BOM,88,Morning,Leisure,1.0798173432446454,0,5131,0,0,5553
HYD,HYD,57,Evening,Leisure,1.0469731691040423,0,3557,2,0,5733
DEL,DEL,2,Evening,Leisure,0.855544081234162,0,4627,2,0,9871
DEL,BLR,62,Morning,Business,1.245294418581278,0,3811,0,1,7323
DEL,BLR,88,Night,Business,0.7127034182412271,0,7217,3,1,5785
DEL,BOM,9,Morning,Business,0.9088080122580957,1,9348,0,1,25669
BLR,HYD,68,Evening,Leisure,1.1313954852388366,1,5501,2,0,10100
DEL,HYD,81,Evening,Business,1.1601573558094957,0,6237,2,1,9265
HYD,HYD,17,Evening,Business,0.9496711266591159,1,8993,2,1,23221
MAA,BOM,50,Morning,Business,0.7101458879538202,0,9378,0,1,10912
DEL,HYD,40,Evening,Leisure,1.0708262074742425,0,7377,2,0,16997
BLR,BLR,58,Night,Leisure,0.7378568087099294,0,5782,3,0,7277
BLR,DEL,75,Afternoon,Leisure,0.7647134656921086,0,6683,1,0,6540
DEL,BLR,85,Night,Business,1.090150431787714,0,9008,3,1,11347
MAA,BLR,21,Morning,Business,0.8874929956857129,0,4931,0,1,10918
DEL,DEL,18,Evening,Business,0.9088180916249518,1,6625,2,1,16007
BLR,BLR,55,Morning,Business,0.9920842461899461,1,8397,0,1,17593
BOM,BOM,29,Afternoon,Leisure,1.2871470369156244,1,7834,1,0,27619
HYD,DEL,24,Morning,Business,1.2792653324432264,0,5275,0,1,17107
BLR,BLR,74,Evening,Leisure,0.9497565996160451,0,4818,2,0,6603
DEL,MAA,17,Afternoon,Business,0.8592995303309693,0,7707,1,1,15893
HYD,BLR,18,Afternoon,Leisure,0.8815552915984695,1,6659,1,0,17497
DEL,BOM,42,Evening,Business,0.8612687788969624,0,4828,2,1,7565
DEL,HYD,84,Evening,Business,1.0193474842850685,0,7885,2,1,8221
BOM,BLR,45,Evening,Leisure,1.0641158846805572,0,7474,2,0,14907
HYD,HYD,82,Morning,Leisure,0.9932676329377996,1,9405,0,0,13497
HYD,MAA,17,Night,Business,0.9447966173488914,0,8177,3,1,19262
BOM,BLR,73,Morning,Business,0.8267710225419627,0,7965,0,1,8700
BLR,DEL,14,Morning,Business,0.989503354829268,0,3719,0,1,9863
DEL,HYD,49,Night,Leisure,0.9046616282814748,1,6802,3,0,14230
MAA,MAA,29,Evening,Business,1.0249572776790057,0,6366,2,1,15157
DEL,DEL,4,Evening,Leisure,1.1051136493069744,1,5396,2,0,17817
DEL,DEL,82,Night,Business,1.0799873046619664,1,7944,3,1,12650
BLR,DEL,20,Night,Business,0.9774941262433561,0,5802,3,1,14753
DEL,DEL,47,Morning,Business,1.0336314545679766,0,8047,0,1,14107
BOM,BLR,9,Afternoon,Business,0.8709136785764557,0,7684,1,1,17188
BOM,BLR,77,Night,Leisure,0.7145441554134337,0,8466,3,0,8366
HYD,BLR,79,Morning,Leisure,1.0750116725008625,0,8755,0,0,11710
MAA,MAA,27,Afternoon,Business,0.8515411354826121,0,7226,1,1,13944
DEL,MAA,15,Evening,Business,1.1013722260409646,0,5542,2,1,14275
DEL,MAA,19,Evening,Business,1.1482050997581756,0,9470,2,1,26658
BLR,BOM,52,Morning,Leisure,1.2495566476622688,0,4022,0,0,8737
BOM,MAA,26,Morning,Business,1.2748736772877678,0,6207,0,1,16697
MAA,BLR,89,Night,Leisure,0.7063156277858208,1,6498,3,0,5577
HYD,BLR,26,Evening,Leisure,1.2942245256127825,0,7421,2,0,20428
BOM,BOM,26,Morning,Leisure,1.1098109910964966,0,4409,0,0,11671
HYD,BOM,46,Evening,Leisure,1.0861144962245135,1,8037,2,0,21558
BLR,MAA,49,Evening,Business,0.7091278571172132,0,7633,2,1,9791
BLR,HYD,82,Night,Business,1.2167400471320424,0,5380,3,1,7794
DEL,BOM,53,Afternoon,Leisure,0.7872948683486958,0,6779,1,0,9158
MAA,DEL,3,Night,Business,1.2023980923598248,1,7805,3,1,28625
HYD,BLR,66,Morning,Business,0.7093375277552295,0,6060,0,1,6960
BOM,DEL,42,Night,Business,1.0875785574994967,1,9196,3,1,21780
BLR,BLR,19,Night,Leisure,0.9608809202618966,1,6572,3,0,16914
DEL,BLR,17,Evening,Business,0.820460037435601,0,7326,2,1,14665
DEL,BOM,33,Night,Business,0.7645368350622604,0,8576,3,1,14477
HYD,BOM,76,Morning,Business,0.9640766179277959,0,7976,0,1,9556
BLR,DEL,49,Afternoon,Business,0.7739834831928548,0,6375,1,1,8427
MAA,BLR,56,Night,Business,0.9918679670146285,0,9156,3,1,16230
BLR,DEL,63,Night,Business,1.0751302351917114,0,6406,3,1,10316
HYD,HYD,3,Afternoon,Business,1.1964305161644149,0,7989,1,1,24588
HYD,DEL,49,Morning,Business,1.10718966230972,1,8669,0,1,20396
BLR,MAA,55,Morning,Business,0.7391198600236902,0,7991,0,1,9467
HYD,DEL,26,Night,Business,0.8844595195287023,0,9372,3,1,18972
BLR,MAA,72,Evening,Leisure,0.8727871647595002,0,4044,2,0,4961
BOM,MAA,52,Night,Business,1.2490194540826507,0,6597,3,1,15370
BLR,MAA,7,Afternoon,Leisure,1.2206692266356582,1,7125,1,0,26249
BLR,HYD,46,Afternoon,Business,0.9220887510102501,0,7005,1,1,11334
HYD,DEL,46,Afternoon,Leisure,0.7426931535295486,0,4584,1,0,5785
HYD,DEL,16,Night,Leisure,1.23646439068284,0,4052,3,0,11749
DEL,HYD,24,Night,Business,1.2329139717785123,0,9060,3,1,23447
DEL,BLR,61,Morning,Leisure,1.212847679218435,0,4653,0,0,8640
BOM,BOM,54,Evening,Leisure,1.2070489826413011,0,7438,2,0,14347
DEL,DEL,62,Night,Leisure,0.9881524006516929,1,8973,3,0,16863
BLR,BOM,1,Morning,Business,0.8064589913497588,1,5745,0,1,15096
HYD,HYD,49,Night,Leisure,0.9864928302774566,0,5186,3,0,8554
DEL,BLR,25,Morning,Leisure,0.9967586624016789,0,9335,0,0,20972
DEL,BLR,10,Morning,Business,0.9939590519469164,0,4193,0,1,10206
BOM,BLR,80,Evening,Leisure,1.0232635516690696,0,7290,2,0,9274
BOM,HYD,16,Night,Leisure,0.854594213794693,0,9335,3,0,19248
BLR,MAA,58,Morning,Leisure,0.919744708680169,0,3997,0,0,5603
HYD,MAA,72,Afternoon,Business,0.9605119551780816,0,5595,1,1,7088
BOM,BOM,29,Afternoon,Leisure,0.7786727257098999,0,8791,1,0,14358
DEL,MAA,6,Afternoon,Business,0.9732184807369003,0,4112,1,1,11359
HYD,MAA,16,Evening,Leisure,1.1862817702417559,0,7467,2,0,24091
HYD,BLR,20,Morning,Leisure,1.1968357256397257,0,8934,0,0,23226
DEL,BLR,80,Evening,Leisure,0.9469382631406182,0,3875,2,0,4570
BOM,BOM,71,Night,Leisure,1.0112849872506122,0,4305,3,0,5724
DEL,DEL,78,Night,Business,0.7201901992810339,1,4420,3,1,4325
HYD,BOM,43,Morning,Leisure,1.1046595338811582,0,8470,0,0,16388
MAA,BOM,26,Afternoon,Business,0.9427635297681178,1,7104,1,1,19720
MAA,HYD,78,Morning,Leisure,0.9672866098500075,0,4943,0,0,5755
BLR,HYD,71,Morning,Business,1.224203636307859,0,9015,0,1,16736
DEL,BOM,33,Morning,Leisure,0.977100660736365,0,5045,0,0,10427
DEL,BOM,26,Evening,Leisure,0.7127153477367116,0,4710,2,0,7175
BLR,BOM,45,Night,Business,0.8364945345214374,1,8601,3,1,17313
BLR,MAA,84,Morning,Business,0.9853723685849554,0,5580,0,1,6683
BLR,HYD,63,Morning,Business,0.9546377756491214,0,8187,0,1,12795
HYD,BOM,67,Morning,Business,1.2162220823682883,0,8810,0,1,16410
DEL,BLR,52,Evening,Leisure,1.0252825055837,0,5648,2,0,9854
HYD,BLR,68,Evening,Business,1.1137814451490726,0,5008,2,1,7332
BLR,MAA,26,Evening,Business,0.9815939782260821,0,8904,2,1,18736
DEL,MAA,75,Morning,Business,0.963793440435499,1,4413,0,1,6564
HYD,DEL,2,Afternoon,Leisure,0.9677720010846107,0,6280,1,0,18304
HYD,DEL,14,Afternoon,Leisure,0.9465529418163033,0,3889,1,0,9689
BLR,DEL,30,Afternoon,Leisure,1.0231500315125222,0,7549,1,0,18107
DEL,MAA,49,Night,Leisure,0.8502660410521622,1,7755,3,0,13759
BLR,MAA,12,Morning,Business,1.2346331163050925,1,8487,0,1,33372
DEL,MAA,44,Afternoon,Leisure,0.8998513288563237,0,7125,1,0,13202
MAA,BLR,33,Afternoon,Business,0.788514300506408,0,4570,1,1,7679
BOM,MAA,13,Afternoon,Leisure,0.7579302871586471,0,9065,1,0,17206
BOM,BLR,78,Morning,Business,0.7080537490720765,0,8291,0,1,7598
BOM,DEL,88,Afternoon,Business,0.9537136471401169,1,8353,1,1,10061
BLR,DEL,26,Afternoon,Business,0.8125665931272548,0,6070,1,1,12354
MAA,DEL,21,Morning,Business,0.7129887415523487,0,7237,0,1,12096
DEL,BOM,28,Night,Business,1.0120117277737142,0,6279,3,1,13311
HYD,BOM,48,Evening,Leisure,1.1079871291904568,0,3838,2,0,7780
DEL,HYD,40,Afternoon,Business,0.7514506305466626,1,5476,1,1,9352
HYD,HYD,66,Evening,Business,0.9765524637517957,0,6936,2,1,10147
DEL,HYD,73,Night,Business,1.1461772071604481,0,4294,3,1,6101
MAA,BOM,87,Night,Business,1.2914840926050553,1,5222,3,1,9350
HYD,BOM,79,Afternoon,Leisure,1.1003142067855365,0,9193,1,0,13228
BLR,HYD,77,Morning,Leisure,0.8469037304857123,0,6719,0,0,6675
DEL,HYD,23,Night,Business,1.1299321838673997,0,4398,3,1,10866
DEL,MAA,81,Evening,Business,1.058757656091898,0,8763,2,1,10975
HYD,HYD,48,Evening,Business,0.8270795731489287,0,3602,2,1,5780
BLR,MAA,2,Evening,Business,1.210666495508533,0,6359,2,1,20054
BLR,BLR,84,Evening,Leisure,0.9564426563365604,0,7688,2,0,7512
MAA,BOM,20,Night,Leisure,1.2771865928404755,0,8570,3,0,26508
BLR,HYD,59,Afternoon,Business,1.1337406044686669,0,4947,1,1,9434
BLR,BOM,46,Afternoon,Business,1.0867378927790932,0,7714,1,1,14954
BLR,BOM,3,Evening,Business,1.1370117024859372,0,5532,2,1,18060
BOM,BOM,55,Afternoon,Business,0.986858211290933,1,7532,1,1,16530
MAA,BLR,12,Evening,Business,1.0031358866810045,0,6560,2,1,15623
DEL,DEL,40,Evening,Leisure,1.2107244312668464,0,5034,2,0,12216
HYD,HYD,66,Morning,Leisure,1.1085571219861017,1,8985,0,0,16121
DEL,DEL,78,Night,Business,1.238345995114985,0,6347,3,1,9174
MAA,DEL,16,Night,Leisure,1.2344960521445612,0,6709,3,0,18854
HYD,DEL,83,Evening,Leisure,1.2858940204265497,0,8070,2,0,11602
MAA,BOM,34,Night,Leisure,1.1201287953072006,0,6963,3,0,17595
BLR,MAA,44,Afternoon,Business,1.0013810305970452,0,3934,1,1,7680
HYD,BOM,6,Evening,Leisure,0.7997870201254493,1,4757,2,0,11556
BLR,BOM,77,Morning,Leisure,1.1232283357884505,0,3554,0,0,4567
DEL,DEL,64,Afternoon,Business,0.8749466300559584,0,4430,1,1,5954
DEL,BOM,22,Morning,Leisure,0.8697685408223987,0,8911,0,0,16947
HYD,DEL,18,Morning,Business,0.8429726658688408,0,6299,0,1,12548
HYD,MAA,12,Night,Leisure,1.2250732344108701,1,3811,3,0,14371
MAA,HYD,52,Night,Business,1.220778668009295,0,9167,3,1,21286
MAA,DEL,51,Evening,Business,1.0785822669220348,0,4456,2,1,7839
BLR,MAA,71,Night,Leisure,0.9837885888224416,0,7583,3,0,10642
HYD,HYD,48,Morning,Leisure,1.1032686760592794,0,9496,0,0,17403
DEL,BLR,19,Morning,Business,1.0643376701790344,0,8352,0,1,22071
MAA,DEL,6,Afternoon,Business,0.9494405489940324,0,6012,1,1,15455
MAA,DEL,84,Morning,Leisure,0.9277785204913807,1,9028,0,0,11959
DEL,BLR,27,Evening,Leisure,0.9296765848872102,0,4763,2,0,10070
MAA,BLR,53,Evening,Leisure,1.053480041893623,0,9451,2,0,16813
BLR,DEL,48,Night,Leisure,1.0886016136724956,0,6247,3,0,11869
HYD,BLR,7,Night,Business,0.9710450521092652,0,6282,3,1,14880
DEL,BOM,59,Night,Business,1.2812148701278259,0,4593,3,1,9599
HYD,HYD,69,Evening,Business,0.7503074308026886,0,6286,2,1,7217
MAA,HYD,11,Morning,Leisure,0.9082282155722662,0,6315,0,0,14841
MAA,HYD,15,Night,Leisure,0.9514448098752646,0,7263,3,0,18102
DEL,BOM,64,Afternoon,Business,0.7101528060789658,0,7535,1,1,7805
BLR,BLR,3,Night,Business,0.9189743126009351,1,8339,3,1,24935
BOM,MAA,69,Evening,Business,0.8642259503037055,0,5823,2,1,6895
DEL,BLR,23,Night,Business,1.0036217621364885,0,3732,3,1,8079
BOM,DEL,53,Morning,Business,0.9018463283099616,0,5601,0,1,8643
BOM,HYD,37,Night,Business,1.1357092809678768,0,7852,3,1,19341
BLR,BLR,9,Evening,Leisure,1.005959497244589,0,5528,2,0,14263
BOM,MAA,15,Evening,Business,0.7778573400977586,0,9357,2,1,18742
BOM,DEL,3,Afternoon,Business,1.1500367944866083,0,5429,1,1,17992
BLR,BOM,70,Evening,Business,0.759537337649606,0,4958,2,1,5085
BOM,BOM,17,Afternoon,Business,1.2034295008476144,0,5148,1,1,16147
BOM,MAA,26,Morning,Business,1.2588533164517317,0,3907,0,1,10852
BOM,DEL,21,Evening,Business,0.8934671741109124,0,6840,2,1,13835
DEL,HYD,72,Night,Business,1.2556855799577584,1,9288,3,1,17977
DEL,BLR,21,Morning,Leisure,1.175804895473523,0,5477,0,0,14407
DEL,DEL,11,Night,Business,1.253461366602262,1,5913,3,1,24034
BLR,BOM,38,Night,Leisure,1.0997620821525087,1,8918,3,0,25869
MAA,MAA,72,Night,Leisure,0.8413864236528531,1,8778,3,0,11404
BOM,MAA,88,Morning,Leisure,1.2367139421465836,0,8437,0,0,9951
BOM,BLR,35,Morning,Business,0.8105590457024462,1,8579,0,1,16870
BLR,MAA,14,Evening,Business,0.8278363306105213,0,5260,2,1,11319
BOM,MAA,14,Night,Business,0.8626377940842183,0,7097,3,1,15022
DEL,DEL,10,Afternoon,Business,0.8825477868919508,0,4878,1,1,11303
MAA,HYD,12,Evening,Business,1.0086877852786182,0,4120,2,1,11158
HYD,BLR,38,Morning,Business,1.1280744162604264,0,4429,0,1,10005
BOM,DEL,34,Afternoon,Business,1.2557249046404104,0,9326,1,1,27308
DEL,HYD,41,Morning,Business,0.7530625524013015,0,4474,0,1,6401
HYD,DEL,10,Afternoon,Business,1.2726216173369416,0,7987,1,1,28955
MAA,DEL,17,Evening,Business,1.252793780258088,0,7947,2,1,23036
HYD,MAA,17,Afternoon,Leisure,0.7323995753086233,0,6353,1,0,10555
DEL,HYD,67,Evening,Business,0.9161926826149376,1,5189,2,1,8747
HYD,BLR,62,Morning,Business,1.187886034179602,0,8171,0,1,15754
BLR,BLR,1,Afternoon,Business,1.0669459272876407,0,9289,1,1,29266
HYD,HYD,12,Night,Leisure,1.1674563660290622,1,8907,3,0,30945
BOM,MAA,4,Night,Business,1.1314200032739326,0,8118,3,1,27135
BOM,BOM,42,Morning,Business,0.9980620678762981,0,4225,0,1,7635
BLR,DEL,13,Afternoon,Leisure,0.7247308275710197,1,3661,1,0,7327
DEL,MAA,85,Night,Business,1.0505609212387006,1,4158,3,1,5536
BOM,HYD,86,Evening,Leisure,0.7291399918355775,0,6397,2,0,5337
MAA,DEL,4,Afternoon,Leisure,1.0622360305210785,0,9168,1,0,27405
BOM,BLR,82,Afternoon,Leisure,1.180246517496207,1,8119,1,0,13168
BOM,BOM,69,Night,Leisure,1.050995049221151,0,7599,3,0,10787
DEL,BLR,19,Evening,Business,1.2982130827370182,0,6042,2,1,17308
HYD,HYD,2,Evening,Leisure,0.9735199001082598,0,5078,2,0,13200
BOM,DEL,12,Evening,Leisure,1.1492964781623924,0,7494,2,0,21872
BLR,HYD,81,Afternoon,Business,1.1003279750451445,0,4574,1,1,6160
